"","station_id","stationname","daytype","rides","date"
"49392",40390,"Forest Park","U",1159,2018-11-04
"49393",40390,"Forest Park","W",3507,2018-11-05
"49394",40390,"Forest Park","W",3422,2018-11-06
"49395",40390,"Forest Park","W",3580,2018-11-07
"49396",40390,"Forest Park","W",3548,2018-11-08
"49397",40390,"Forest Park","W",3351,2018-11-09
"49398",40390,"Forest Park","A",1380,2018-11-10
"49399",40390,"Forest Park","U",1144,2018-11-11
"49400",40390,"Forest Park","W",2738,2018-11-12
"49401",40390,"Forest Park","W",3589,2018-11-13
"49402",40390,"Forest Park","W",3612,2018-11-14
"49403",40390,"Forest Park","W",3476,2018-11-15
"49404",40390,"Forest Park","W",3444,2018-11-16
"49405",40390,"Forest Park","A",1578,2018-11-17
"49406",40390,"Forest Park","U",1163,2018-11-18
"49407",40390,"Forest Park","W",3437,2018-11-19
"49408",40390,"Forest Park","W",3381,2018-11-20
"49409",40390,"Forest Park","W",2846,2018-11-21
"49410",40390,"Forest Park","U",1013,2018-11-22
"49411",40390,"Forest Park","W",1866,2018-11-23
"49412",40390,"Forest Park","A",1340,2018-11-24
"49413",40390,"Forest Park","U",1017,2018-11-25
"49414",40390,"Forest Park","W",2760,2018-11-26
"49415",40390,"Forest Park","W",3402,2018-11-27
"49416",40390,"Forest Park","W",3451,2018-11-28
"49417",40390,"Forest Park","W",3401,2018-11-29
"49418",40390,"Forest Park","W",3456,2018-11-30
"53770",40390,"Forest Park","A",1249,2018-12-01
"53771",40390,"Forest Park","U",1057,2018-12-02
"53772",40390,"Forest Park","W",3389,2018-12-03
"53773",40390,"Forest Park","W",3475,2018-12-04
"53774",40390,"Forest Park","W",3356,2018-12-05
"53775",40390,"Forest Park","W",3527,2018-12-06
"53776",40390,"Forest Park","W",3335,2018-12-07
"53777",40390,"Forest Park","A",1784,2018-12-08
"53778",40390,"Forest Park","U",1102,2018-12-09
"53779",40390,"Forest Park","W",3263,2018-12-10
"53780",40390,"Forest Park","W",3439,2018-12-11
"53781",40390,"Forest Park","W",3326,2018-12-12
"53782",40390,"Forest Park","W",3385,2018-12-13
"53783",40390,"Forest Park","W",3218,2018-12-14
"53784",40390,"Forest Park","A",1454,2018-12-15
"53785",40390,"Forest Park","U",1151,2018-12-16
"53786",40390,"Forest Park","W",3123,2018-12-17
"53787",40390,"Forest Park","W",3263,2018-12-18
"53788",40390,"Forest Park","W",3181,2018-12-19
"53789",40390,"Forest Park","W",3106,2018-12-20
"53790",40390,"Forest Park","W",2955,2018-12-21
"53791",40390,"Forest Park","A",1419,2018-12-22
"53792",40390,"Forest Park","U",1053,2018-12-23
"53793",40390,"Forest Park","W",1530,2018-12-24
"53794",40390,"Forest Park","U",711,2018-12-25
"53795",40390,"Forest Park","W",2088,2018-12-26
"53796",40390,"Forest Park","W",2349,2018-12-27
"53797",40390,"Forest Park","W",2517,2018-12-28
"53798",40390,"Forest Park","A",1180,2018-12-29
"53799",40390,"Forest Park","U",925,2018-12-30
"53800",40390,"Forest Park","W",1740,2018-12-31
"58247",40390,"Forest Park","U",889,2019-01-01
"58248",40390,"Forest Park","W",2577,2019-01-02
"58249",40390,"Forest Park","W",2861,2019-01-03
"58250",40390,"Forest Park","W",2825,2019-01-04
"58251",40390,"Forest Park","A",1346,2019-01-05
"58252",40390,"Forest Park","U",967,2019-01-06
"58253",40390,"Forest Park","W",3029,2019-01-07
"58254",40390,"Forest Park","W",3100,2019-01-08
"58255",40390,"Forest Park","W",3079,2019-01-09
"58256",40390,"Forest Park","W",3088,2019-01-10
"58257",40390,"Forest Park","W",3066,2019-01-11
"58258",40390,"Forest Park","A",1249,2019-01-12
"58259",40390,"Forest Park","U",1018,2019-01-13
"58260",40390,"Forest Park","W",3201,2019-01-14
"58261",40390,"Forest Park","W",3280,2019-01-15
"58262",40390,"Forest Park","W",3376,2019-01-16
"58263",40390,"Forest Park","W",3502,2019-01-17
"58264",40390,"Forest Park","W",3125,2019-01-18
"58265",40390,"Forest Park","A",993,2019-01-19
"58266",40390,"Forest Park","U",778,2019-01-20
"58267",40390,"Forest Park","W",1599,2019-01-21
"58268",40390,"Forest Park","W",3287,2019-01-22
"58269",40390,"Forest Park","W",3334,2019-01-23
"58270",40390,"Forest Park","W",3164,2019-01-24
"58271",40390,"Forest Park","W",2542,2019-01-25
"58272",40390,"Forest Park","A",1057,2019-01-26
"58273",40390,"Forest Park","U",799,2019-01-27
"58274",40390,"Forest Park","W",2925,2019-01-28
"58275",40390,"Forest Park","W",2630,2019-01-29
"58276",40390,"Forest Park","W",560,2019-01-30
"58277",40390,"Forest Park","W",1111,2019-01-31
